epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8557,0.97761,2.83497,1.13705,0.79793,0.687,0.83879,0.63141,0.80963,2.05966,1.00433,0.000413194,0.000413194,0.000413194
2,87.7158,0.97378,1.75235,1.10475,0.82061,0.84724,0.92524,0.7508,0.66501,1.43041,0.88054,0.000821645,0.000821645,0.000821645
3,130.308,0.97854,1.47672,1.09517,0.89122,0.85903,0.91438,0.70249,0.81949,0.92648,0.99245,0.00122185,0.00122185,0.00122185
4,171.588,0.94393,1.19962,1.09769,0.84749,0.9,0.90733,0.72644,0.74478,0.84522,0.95086,0.00121287,0.00121287,0.00121287
5,212.638,0.90125,0.99133,1.07588,0.94956,0.94342,0.97067,0.81819,0.58069,0.61389,0.86425,0.0012005,0.0012005,0.0012005
6,254.156,0.84142,0.89169,1.04964,0.96591,0.94583,0.9692,0.83604,0.55595,0.61705,0.86305,0.00118812,0.00118812,0.00118812
7,295.922,0.80695,0.80645,1.03991,0.96572,0.97644,0.98743,0.85754,0.56517,0.50025,0.87202,0.00117575,0.00117575,0.00117575
8,337.385,0.78182,0.75932,1.03612,0.94759,0.94633,0.98137,0.84911,0.55878,0.53234,0.8801,0.00116337,0.00116337,0.00116337
9,378.918,0.75105,0.73261,1.02037,0.97526,0.97641,0.98955,0.89193,0.46105,0.41588,0.83608,0.001151,0.001151,0.001151
10,420.205,0.73674,0.70316,1.00523,0.98073,0.97647,0.98818,0.88041,0.51452,0.43454,0.84844,0.00113863,0.00113863,0.00113863
11,461.652,0.74557,0.71806,1.02966,0.97879,0.97704,0.98938,0.8734,0.47996,0.45603,0.8471,0.00112625,0.00112625,0.00112625
12,503.092,0.69476,0.65168,1.01373,0.97442,0.98361,0.98577,0.90475,0.43158,0.4044,0.82516,0.00111388,0.00111388,0.00111388
13,544.699,0.71191,0.67288,1.02572,0.96864,0.95417,0.98829,0.91465,0.40791,0.39074,0.82371,0.0011015,0.0011015,0.0011015
14,586.36,0.68622,0.62561,1.00398,0.95893,0.9875,0.99309,0.90051,0.4618,0.41088,0.8412,0.00108913,0.00108913,0.00108913
15,627.818,0.68687,0.63258,1.0047,0.9767,0.97807,0.99136,0.92337,0.40609,0.35152,0.82375,0.00107675,0.00107675,0.00107675
16,669.293,0.66018,0.61053,0.98935,0.96729,0.96863,0.98842,0.90833,0.42867,0.37653,0.83797,0.00106437,0.00106437,0.00106437
17,711.028,0.67597,0.60859,1.00287,0.99015,0.98419,0.99368,0.91856,0.39538,0.34756,0.80613,0.001052,0.001052,0.001052
18,752.495,0.64751,0.59567,0.9875,0.97971,0.96555,0.99158,0.9165,0.3868,0.34976,0.81617,0.00103962,0.00103962,0.00103962
19,794.099,0.63051,0.5801,0.98671,0.99182,0.98333,0.99024,0.92848,0.39048,0.32136,0.81329,0.00102725,0.00102725,0.00102725
20,835.552,0.62619,0.56687,0.97332,0.98292,0.98627,0.99421,0.92206,0.39045,0.31432,0.80358,0.00101488,0.00101488,0.00101488
21,876.974,0.62033,0.57858,0.97997,0.95903,0.99073,0.98587,0.93434,0.36956,0.33203,0.80628,0.0010025,0.0010025,0.0010025
22,918.427,0.63008,0.5654,0.98678,0.98927,0.97498,0.99078,0.92751,0.38862,0.33924,0.83421,0.000990125,0.000990125,0.000990125
23,960.096,0.59786,0.55087,0.96849,0.9672,0.98333,0.99155,0.9381,0.38256,0.31523,0.80605,0.00097775,0.00097775,0.00097775
24,1001.48,0.59604,0.54153,0.96379,0.98576,0.98507,0.99414,0.92344,0.39523,0.29599,0.81338,0.000965375,0.000965375,0.000965375
25,1042.86,0.59731,0.53115,0.97026,0.98215,0.99125,0.99171,0.92991,0.36216,0.29631,0.79549,0.000953,0.000953,0.000953
26,1084.29,0.58666,0.54002,0.96618,0.99345,0.99583,0.99158,0.94382,0.33668,0.27524,0.79325,0.000940625,0.000940625,0.000940625
27,1125.62,0.59101,0.52481,0.97949,0.97337,0.99185,0.99411,0.94034,0.35439,0.31295,0.80112,0.00092825,0.00092825,0.00092825
28,1167.14,0.58076,0.50682,0.96735,0.99442,0.9925,0.99271,0.94413,0.35413,0.27117,0.79563,0.000915875,0.000915875,0.000915875
29,1208.69,0.57268,0.51399,0.96174,0.99,0.97972,0.99412,0.94399,0.32148,0.27456,0.78957,0.0009035,0.0009035,0.0009035
30,1250.09,0.56146,0.50292,0.96198,0.98983,0.99583,0.99409,0.94179,0.34819,0.28126,0.79719,0.000891125,0.000891125,0.000891125
31,1291.62,0.54593,0.48567,0.9513,0.98668,0.99128,0.99202,0.93354,0.3574,0.27888,0.79161,0.00087875,0.00087875,0.00087875
32,1333.17,0.55401,0.48329,0.94987,0.99698,0.99726,0.995,0.95007,0.33761,0.26238,0.79375,0.000866375,0.000866375,0.000866375
33,1374.4,0.53832,0.48109,0.94723,0.99282,0.98866,0.99205,0.93771,0.35626,0.275,0.80145,0.000854,0.000854,0.000854
34,1415.44,0.55472,0.4838,0.95893,0.98442,0.9793,0.99488,0.9503,0.32185,0.26993,0.79462,0.000841625,0.000841625,0.000841625
35,1456.46,0.55098,0.48467,0.95875,0.99458,0.99583,0.99471,0.95312,0.31446,0.24885,0.78747,0.00082925,0.00082925,0.00082925
36,1497.55,0.53737,0.46906,0.94696,0.99296,0.99583,0.9923,0.94567,0.33145,0.25976,0.78715,0.000816875,0.000816875,0.000816875
37,1538.7,0.5343,0.46484,0.94284,0.99538,1,0.995,0.96563,0.3117,0.23841,0.78281,0.0008045,0.0008045,0.0008045
38,1580.18,0.50852,0.45805,0.93711,0.97836,0.96905,0.99279,0.94715,0.33407,0.28291,0.79085,0.000792125,0.000792125,0.000792125
39,1621.64,0.52359,0.46537,0.94829,0.98898,0.99387,0.99452,0.95152,0.3212,0.26047,0.79405,0.00077975,0.00077975,0.00077975
40,1662.97,0.52257,0.46143,0.93564,0.98912,0.99096,0.99416,0.9538,0.30091,0.24474,0.78178,0.000767375,0.000767375,0.000767375
41,1704.42,0.5256,0.45244,0.95263,0.9969,1,0.995,0.961,0.28666,0.22911,0.7834,0.000755,0.000755,0.000755
42,1746.11,0.51826,0.44216,0.94348,0.99854,1,0.995,0.9593,0.3032,0.22693,0.78038,0.000742625,0.000742625,0.000742625
43,1787.63,0.5276,0.45495,0.94642,0.98959,0.98971,0.9942,0.95082,0.31039,0.264,0.78466,0.00073025,0.00073025,0.00073025
44,1829.06,0.50475,0.42788,0.9358,0.99665,0.99517,0.99496,0.96136,0.30674,0.23318,0.78772,0.000717875,0.000717875,0.000717875
45,1870.56,0.51786,0.43725,0.94149,0.99423,0.99875,0.995,0.95737,0.28406,0.23483,0.77429,0.0007055,0.0007055,0.0007055
46,1911.97,0.51254,0.4343,0.94168,0.997,0.99615,0.995,0.95449,0.32039,0.23302,0.78391,0.000693125,0.000693125,0.000693125
47,1953.55,0.50014,0.43077,0.93906,0.98976,0.99249,0.99476,0.96369,0.27998,0.22289,0.77541,0.00068075,0.00068075,0.00068075
48,1995.21,0.48818,0.41491,0.92187,0.99009,0.99583,0.99362,0.9556,0.30464,0.22917,0.77931,0.000668375,0.000668375,0.000668375
49,2036.81,0.4986,0.42152,0.93658,0.99039,0.99291,0.99267,0.96005,0.28834,0.22574,0.77626,0.000656,0.000656,0.000656
50,2078.29,0.48965,0.41395,0.92827,0.98968,0.99583,0.99385,0.95768,0.29663,0.2322,0.78224,0.000643625,0.000643625,0.000643625
51,2120.02,0.48804,0.41706,0.93474,0.99816,0.99636,0.995,0.96215,0.29154,0.21779,0.78509,0.00063125,0.00063125,0.00063125
52,2161.47,0.48722,0.41704,0.93458,0.98721,0.99208,0.99455,0.96854,0.27635,0.23177,0.78009,0.000618875,0.000618875,0.000618875
53,2202.97,0.48265,0.40906,0.92806,0.99711,1,0.995,0.96098,0.29231,0.22052,0.78868,0.0006065,0.0006065,0.0006065
54,2244.37,0.47521,0.39922,0.92736,0.99458,0.99633,0.99377,0.96264,0.27677,0.20746,0.78006,0.000594125,0.000594125,0.000594125
55,2285.93,0.46413,0.39457,0.92497,0.99827,1,0.995,0.97064,0.27124,0.20152,0.77436,0.00058175,0.00058175,0.00058175
56,2327.4,0.47664,0.4021,0.92371,0.99226,0.99583,0.99303,0.962,0.27958,0.21864,0.77387,0.000569375,0.000569375,0.000569375
57,2368.95,0.46924,0.39698,0.92696,0.9924,0.99583,0.99496,0.95737,0.28905,0.21759,0.7798,0.000557,0.000557,0.000557
58,2410.37,0.46115,0.38859,0.92351,0.98532,0.99905,0.995,0.95965,0.28321,0.22256,0.78456,0.000544625,0.000544625,0.000544625
59,2451.7,0.45458,0.38445,0.91877,0.99386,0.99167,0.99136,0.95504,0.28258,0.21411,0.78585,0.00053225,0.00053225,0.00053225
60,2493.06,0.46174,0.39388,0.9291,0.99806,0.99875,0.995,0.962,0.27455,0.20124,0.78655,0.000519875,0.000519875,0.000519875
61,2534.81,0.46256,0.39393,0.92419,0.99598,0.99749,0.995,0.96722,0.27325,0.20428,0.77261,0.0005075,0.0005075,0.0005075
62,2576.3,0.47369,0.39854,0.9345,0.99886,1,0.995,0.97037,0.25198,0.19552,0.7693,0.000495125,0.000495125,0.000495125
