epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4417,0.95843,2.58851,1.12988,0.76468,0.84572,0.87894,0.69262,0.6845,1.5206,0.948,0.000413194,0.000413194,0.000413194
2,83.6582,0.93794,1.61708,1.11404,0.91318,0.87812,0.95764,0.77251,0.6828,1.04778,0.92272,0.000821645,0.000821645,0.000821645
3,121.507,0.92562,1.31884,1.11174,0.92874,0.92533,0.96745,0.8107,0.6316,0.72135,0.93461,0.00122185,0.00122185,0.00122185
4,159.014,0.90287,1.11978,1.10271,0.87623,0.86761,0.93424,0.74308,0.76581,0.84198,1.01335,0.00121287,0.00121287,0.00121287
5,196.303,0.87752,0.96537,1.08914,0.94802,0.93276,0.97924,0.8349,0.58665,0.58172,0.89622,0.0012005,0.0012005,0.0012005
6,234.086,0.80043,0.84417,1.05213,0.94112,0.96419,0.9925,0.86259,0.53994,0.53208,0.89383,0.00118812,0.00118812,0.00118812
7,271.826,0.78534,0.78481,1.05245,0.93962,0.96709,0.97685,0.8302,0.56153,0.50764,0.88797,0.00117575,0.00117575,0.00117575
8,308.971,0.75942,0.76835,1.04584,0.94196,0.95345,0.97669,0.86569,0.51607,0.5081,0.89002,0.00116337,0.00116337,0.00116337
9,346.085,0.71822,0.71908,1.03051,0.9334,0.96685,0.97638,0.89127,0.45294,0.45861,0.84656,0.001151,0.001151,0.001151
10,383.679,0.71307,0.68747,1.02113,0.98413,0.98845,0.99484,0.89067,0.49321,0.40143,0.86785,0.00113863,0.00113863,0.00113863
11,421.236,0.7182,0.69255,1.03815,0.97048,0.94583,0.98088,0.89966,0.44929,0.41367,0.86802,0.00112625,0.00112625,0.00112625
12,458.487,0.68483,0.63866,1.01702,0.97615,0.98915,0.99397,0.88597,0.48233,0.37689,0.85891,0.00111388,0.00111388,0.00111388
13,496.243,0.69901,0.64798,1.031,0.98775,0.94547,0.98343,0.89813,0.44779,0.42354,0.86908,0.0011015,0.0011015,0.0011015
14,533.618,0.6868,0.63162,1.01937,0.98933,0.98523,0.99101,0.91132,0.41329,0.35896,0.82685,0.00108913,0.00108913,0.00108913
15,570.914,0.68446,0.61457,1.02279,0.96699,0.99106,0.99371,0.91137,0.42956,0.36583,0.85879,0.00107675,0.00107675,0.00107675
16,608.109,0.63684,0.59988,0.99837,0.98215,0.98686,0.99145,0.90909,0.40647,0.3461,0.85759,0.00106437,0.00106437,0.00106437
17,645.598,0.65831,0.58294,1.01285,0.99409,0.99074,0.99484,0.92164,0.40821,0.32999,0.84569,0.001052,0.001052,0.001052
18,683.117,0.6363,0.58093,0.99796,0.98329,0.9743,0.99095,0.92316,0.39792,0.33768,0.86395,0.00103962,0.00103962,0.00103962
19,720.252,0.62459,0.55343,1.00047,0.99333,0.991,0.99488,0.9364,0.37402,0.32484,0.82724,0.00102725,0.00102725,0.00102725
20,757.826,0.61512,0.55106,0.9834,0.97909,0.9875,0.98991,0.91714,0.39553,0.32791,0.83611,0.00101488,0.00101488,0.00101488
21,795.25,0.60855,0.55128,0.99424,0.99326,0.99139,0.9945,0.94357,0.35881,0.28933,0.82625,0.0010025,0.0010025,0.0010025
22,832.481,0.61758,0.54293,0.99928,0.99665,0.99167,0.99476,0.93251,0.38488,0.29799,0.83029,0.000990125,0.000990125,0.000990125
23,869.612,0.60115,0.53214,0.98676,0.98919,0.99341,0.9948,0.93953,0.36268,0.29621,0.81646,0.00097775,0.00097775,0.00097775
24,907.165,0.57339,0.51709,0.96907,0.99506,0.99565,0.99492,0.94197,0.33298,0.30037,0.81203,0.000965375,0.000965375,0.000965375
25,944.767,0.58983,0.51776,0.98319,0.98818,0.99735,0.99484,0.9458,0.34494,0.27392,0.81191,0.000953,0.000953,0.000953
26,982,0.57191,0.51684,0.97864,0.97666,0.99167,0.99377,0.93366,0.33981,0.27836,0.8247,0.000940625,0.000940625,0.000940625
27,1019.66,0.5739,0.50912,0.98469,0.99202,0.98242,0.99418,0.94122,0.34989,0.31228,0.80663,0.00092825,0.00092825,0.00092825
28,1057.1,0.57939,0.50903,0.98155,0.99428,0.9892,0.99402,0.93752,0.35994,0.29669,0.81193,0.000915875,0.000915875,0.000915875
29,1094.24,0.56142,0.51416,0.9737,0.99016,0.98984,0.99414,0.95178,0.31952,0.27851,0.80994,0.0009035,0.0009035,0.0009035
30,1131.35,0.55711,0.49387,0.97138,0.99309,0.99002,0.9912,0.95,0.32049,0.26089,0.80705,0.000891125,0.000891125,0.000891125
31,1168.84,0.54713,0.48667,0.96335,0.99667,0.99681,0.995,0.94932,0.32101,0.25634,0.82062,0.00087875,0.00087875,0.00087875
32,1206.44,0.54758,0.47069,0.95988,0.98775,0.99089,0.99464,0.94605,0.33974,0.26979,0.81233,0.000866375,0.000866375,0.000866375
33,1243.53,0.53813,0.47002,0.95932,0.9814,0.9875,0.98692,0.94412,0.34351,0.27985,0.82431,0.000854,0.000854,0.000854
34,1281.02,0.55296,0.47122,0.97194,0.99737,0.99678,0.995,0.95846,0.31319,0.24494,0.80539,0.000841625,0.000841625,0.000841625
35,1318.48,0.54832,0.48368,0.96259,0.99556,0.99401,0.99496,0.95406,0.32974,0.25646,0.8067,0.00082925,0.00082925,0.00082925
36,1355.66,0.52887,0.45119,0.95652,0.99235,0.99583,0.99342,0.95402,0.31154,0.25442,0.80003,0.000816875,0.000816875,0.000816875
37,1392.78,0.51841,0.45751,0.94762,0.99767,0.99636,0.995,0.96265,0.29319,0.24136,0.79701,0.0008045,0.0008045,0.0008045
38,1430.22,0.51646,0.44946,0.95027,0.98806,0.99583,0.99464,0.9578,0.30257,0.24287,0.79105,0.000792125,0.000792125,0.000792125
39,1467.85,0.52162,0.44842,0.96017,0.99534,0.99017,0.99476,0.95549,0.30034,0.24049,0.8059,0.00077975,0.00077975,0.00077975
40,1505,0.50091,0.43531,0.93724,0.99817,0.99671,0.995,0.95719,0.30622,0.24255,0.80971,0.000767375,0.000767375,0.000767375
41,1542.54,0.50939,0.43078,0.95738,0.99521,1,0.995,0.96157,0.30497,0.24064,0.81213,0.000755,0.000755,0.000755
42,1580.17,0.52313,0.44906,0.95897,0.99547,0.99883,0.995,0.95544,0.29958,0.2384,0.7976,0.000742625,0.000742625,0.000742625
43,1617.28,0.50711,0.43757,0.94847,0.99362,0.99583,0.9944,0.96108,0.2986,0.24491,0.80366,0.00073025,0.00073025,0.00073025
44,1654.41,0.49505,0.41701,0.94381,0.99768,0.9994,0.995,0.96352,0.28356,0.22685,0.79249,0.000717875,0.000717875,0.000717875
45,1691.89,0.50281,0.42362,0.94801,0.99753,0.9977,0.995,0.95949,0.29785,0.23254,0.79818,0.0007055,0.0007055,0.0007055
46,1729.49,0.50359,0.41813,0.95421,0.99793,0.99799,0.995,0.95956,0.29018,0.22754,0.80852,0.000693125,0.000693125,0.000693125
47,1766.74,0.48829,0.41221,0.94536,0.98623,0.99474,0.99448,0.96899,0.27422,0.22832,0.79527,0.00068075,0.00068075,0.00068075
48,1804.37,0.47299,0.3931,0.93078,0.99635,0.99632,0.995,0.96116,0.29258,0.23245,0.79414,0.000668375,0.000668375,0.000668375
49,1841.96,0.48315,0.40845,0.93932,0.97766,0.99485,0.99408,0.96306,0.28547,0.22939,0.81534,0.000656,0.000656,0.000656
50,1879.19,0.48214,0.40019,0.94177,0.98958,0.99812,0.99488,0.95712,0.29099,0.22993,0.79907,0.000643625,0.000643625,0.000643625
51,1916.39,0.48245,0.40292,0.94347,0.99438,0.99203,0.99417,0.96611,0.26728,0.21584,0.78237,0.00063125,0.00063125,0.00063125
52,1953.71,0.4854,0.40102,0.94186,0.99305,1,0.99488,0.96287,0.27856,0.21946,0.7914,0.000618875,0.000618875,0.000618875
53,1991.32,0.48373,0.39501,0.93843,0.99571,0.99811,0.995,0.96914,0.26098,0.22121,0.78122,0.0006065,0.0006065,0.0006065
54,2028.43,0.46396,0.39093,0.92672,0.996,0.99969,0.995,0.96559,0.27869,0.21235,0.79947,0.000594125,0.000594125,0.000594125
55,2065.92,0.47266,0.39424,0.93895,0.99459,0.99206,0.99492,0.96625,0.26901,0.21639,0.7876,0.00058175,0.00058175,0.00058175
56,2103.37,0.47102,0.39082,0.93009,0.9892,0.99016,0.99488,0.96171,0.26488,0.21284,0.79335,0.000569375,0.000569375,0.000569375
57,2140.55,0.46332,0.38764,0.93383,0.99718,0.99583,0.99488,0.96019,0.27176,0.20159,0.78365,0.000557,0.000557,0.000557
58,2177.79,0.45892,0.37915,0.93399,0.99792,1,0.995,0.96743,0.27716,0.20674,0.79466,0.000544625,0.000544625,0.000544625
59,2215.19,0.44761,0.37108,0.92404,0.99296,0.99583,0.99492,0.9665,0.26136,0.21208,0.777,0.00053225,0.00053225,0.00053225
