x,y,z
0.494018,-2.442828,-0.675693
1.096957,1.063786,2.221372
-2.699018,0.451324,-0.935345
-1.366546,-1.122751,1.086278
-0.724897,-0.350831,1.853682
-0.278174,-2.867238,1.442855
-3.050544,0.608521,0.825902
0.844109,-0.06888,0.339728
0.543228,-1.12553,2.362503
-0.821557,3.079913,0.427588
-2.29515,-0.932335,0.680914
-0.206729,2.892644,0.866081
-1.893001,-0.005692,-0.487171
0.438744,0.127774,1.529089
-1.113172,-0.328448,-0.709166
0.830884,1.090502,0.481587
0.334526,-0.783491,-0.95687
-0.623042,-0.155498,-0.560797
0.685154,-1.774779,-1.558095
-0.126917,2.237884,0.015747
0.610438,1.910405,-0.123336
-1.746137,0.674174,1.054395
-0.345527,-2.823356,0.613806
0.634926,0.287338,1.492572
1.287807,-2.27427,-0.166888
-2.454328,0.191014,1.386272
-0.645066,-1.062562,2.112245
0.473654,-0.159218,-2.478412
-3.0649,-0.112921,-1.478621
-2.96528,-0.166789,-0.837673
-0.623015,-1.678767,1.781277
-0.421509,0.619261,2.213284
3.015507,0.814339,0.326113
-2.039549,0.884814,-1.740108
0.57447,0.896658,1.112979
-1.13344,-0.36962,2.587378
3.053069,0.24711,-0.222678
1.567325,-1.031142,-0.98591
-1.17174,0.129474,1.189199
-1.956532,-0.319782,-1.007751
-1.560809,0.53455,1.830863
1.742669,1.048323,-0.552059
0.042033,0.479918,1.462627
1.922611,2.165437,-0.573102
0.930431,-0.246213,-2.168831
-1.792206,-0.606902,-1.126422
-0.12739,-1.142515,0.794708
0.138123,-0.357833,-0.471111
1.844299,-1.917394,-0.627963
-1.259676,-0.313039,-1.49119
-0.089424,-2.471302,-0.040217
2.721259,0.369231,0.477926
-2.05077,-0.112373,1.278968
-1.570141,0.848856,1.788947
1.533485,0.138672,1.753725
-1.184359,0.451673,-1.704022
-0.862321,-1.941978,1.460374
1.26406,-0.507129,0.471267
-1.037165,-0.421302,1.990029
-0.049991,0.384876,-1.517905
2.278527,-0.950688,-1.010618
0.544015,-2.471655,1.086951
1.946401,0.182351,2.114704
2.258945,-0.270875,-0.975868
0.263784,-2.744573,-1.076851
-0.464552,-0.930774,1.439812
1.170003,-0.963642,-0.041799
0.823373,-0.082443,-1.221028
1.579722,-2.509717,-0.304325
2.032514,0.755027,0.774694
0.873066,3.08981,-0.189342
0.114007,-0.854176,1.732307
-0.268155,-2.073975,0.665881
-1.057372,1.018792,-2.057778
1.025172,0.444092,2.493851
1.560662,-0.959473,-2.117263
0.700019,-0.626844,-1.956585
-1.67864,2.74833,-0.176159
0.614023,-0.112457,1.635688
-1.536592,0.526632,1.393846
-1.431539,-0.501939,-2.426384
-0.39036,-2.330832,0.407391
0.257425,3.135221,-0.586845
0.081636,-0.507019,-2.789408
0.738183,-2.130332,0.783932
3.029019,0.807675,-0.44228
-2.272897,-0.083144,0.826545
-0.011573,-1.029498,-2.072076
-0.39568,-0.021574,1.732304
-0.121214,-2.178919,0.479827
0.639843,2.875929,0.430645
0.844536,-0.722342,-0.990632
-1.739975,-0.557119,1.344676
-0.871043,0.83298,-2.602779
2.327423,1.344279,0.010029
1.727423,-0.803946,0.032341
1.769604,-0.458495,-1.343033
-1.808743,-0.019219,1.185225
1.258908,2.058462,-1.186175
0.118529,2.832147,-0.677031
-1.469936,-2.139787,0.696289
0.525556,-2.802144,-0.63568
-2.625439,1.277635,0.806141
-3.086344,-0.037944,1.38576
1.169623,0.895754,0.855267
1.409945,0.488344,0.352594
-0.565877,0.113734,-0.788514
0.435933,2.658252,0.365257
-2.338122,-1.993239,0.053601
-2.047051,0.327186,-2.187137
-0.024004,-0.288728,0.045524
-1.648843,0.585257,0.667902
-0.389486,-1.220826,2.752301
-2.387493,-0.501186,-1.285491
0.872555,0.673427,2.745918
-0.144523,-2.259618,-0.9627
-1.29512,0.353771,1.439128
-0.506493,-1.279109,-2.628422
-1.161435,-2.569569,-0.260532
0.264547,0.037021,-2.287442
-1.179529,-1.828792,-1.477628
0.04017,2.269829,-0.014356
1.360834,0.100806,-0.717745
-0.55286,0.351765,-3.109628
-1.900313,0.636391,2.066659
-1.019215,-1.099714,1.340279
0.321774,-0.634112,-3.135643
1.913785,-0.232523,-1.46585
-0.141038,2.172752,-0.545574
-0.841208,-0.144404,0.079442
-0.349428,-0.558642,-1.126811
-0.346039,-0.370526,-0.06345
2.537977,-0.740954,-0.598482
0.335795,0.883034,-0.784373
-1.07507,0.726669,-1.000211
-0.599549,0.753346,-1.770297
0.853238,-1.120297,1.66694
1.56338,-0.548752,1.071771
1.446346,1.122286,2.11214
-1.567841,1.024557,0.69581
-0.873334,-0.114462,2.716188
-0.317536,0.568307,1.179961
2.482841,-0.592836,-0.766769
-2.953444,-0.742549,0.599588
0.1777,-2.912771,-0.594886
0.679028,2.459485,-0.061024
1.732836,-1.071535,-0.936843
-0.819451,0.612309,2.717005
-0.596843,-1.138808,2.58097
2.851633,-0.10245,-1.064978
-1.106589,1.21758,1.363781
-1.70895,0.337206,2.590305
2.526209,0.407113,-0.759191
2.538609,-0.220595,0.23443
-2.603487,-0.95512,-0.847928
-0.177524,0.040936,-1.159745
-1.069825,0.392294,0.083852
0.80987,1.808045,0.516409
0.609226,3.015236,0.480419
2.051792,-0.799272,-1.28452
-0.907184,-2.688285,0.603025
-2.068496,-2.106649,-0.359418
-0.575572,0.920338,-0.028885
0.709547,0.329127,3.01874
-2.850701,-0.08868,1.233013
0.741079,0.15054,-2.684748
-2.79914,0.306931,1.514188
0.257701,-0.069116,0.162503
-1.469512,-0.272225,2.683623
0.45002,0.528387,1.812447
-0.374143,0.696137,-1.589882
1.30022,0.580819,0.197466
0.6173,-0.493858,-3.002636
-2.127995,-0.204204,1.571585
-0.81793,1.917714,-0.376789
0.381551,0.897567,-2.720753
0.036055,-0.73744,1.222953
-3.051525,0.921448,0.539945
0.742454,0.850988,-1.814667
2.897571,-1.042234,-0.762746
-0.250523,-0.996099,-1.532354
1.262615,0.400166,0.53899
2.445052,-0.489396,-1.016585
0.569607,-2.801656,0.297251
-3.039018,-0.154481,-0.145431
1.272625,-1.038699,2.244499
1.207872,-0.284389,1.827139
0.234815,0.532639,-0.964655
2.611701,-0.124686,0.461559
1.26261,0.395017,2.753442
-2.780714,0.436507,-0.794554
-1.776514,0.081935,-1.068637
1.137146,-1.019813,-0.796437
-2.456591,0.344565,-0.45472
2.052213,-0.176891,2.116984
1.930365,0.28614,-1.2067
0.309828,-2.004418,-1.795546
0.516121,2.791253,-0.382216
-1.238145,0.021505,0.144319
-1.072599,0.199842,-1.236742
-0.48432,-2.381661,-1.325297
1.353793,1.055251,-0.842755
-0.141049,-0.301133,1.665193
2.550139,0.325961,-1.274128
-0.152621,-0.653768,-2.802024
-2.966139,0.014596,-0.918493
-0.450193,-0.916851,1.008414
-2.745257,0.07043,0.822684
0.296506,-0.556713,-2.236472
-0.558519,-0.945958,-2.499578
1.587134,-0.12276,0.840298
-0.742648,2.701418,-1.107332
2.058603,-2.127126,-0.376981
1.354843,0.187829,0.085598
0.644762,-0.457211,-2.034931
0.132524,2.104235,-0.650645
-1.600736,0.496129,-2.425525
-0.749146,-1.947539,-1.735738
0.186865,-2.790775,1.466225
1.63753,-0.704805,-0.037685
0.251906,0.281852,0.818542
-1.182617,-0.595376,-1.965368
-0.735426,1.97434,-1.489494
2.378114,-0.356368,-1.377765
2.777429,0.746678,1.08716
-0.234592,-1.921394,1.787493
3.017136,0.54347,-0.558234
-2.352364,0.661512,-1.014066
0.153538,0.083475,0.724087
1.774555,0.146741,-1.894184
-3.123018,1.030517,0.232139
-0.167148,-0.07459,-0.659314
1.528674,0.617783,0.619677
2.72172,0.37176,1.559611
0.075858,-0.785405,-2.007538
-0.583136,0.274681,-1.930961
-1.712462,-0.140395,-0.35315
0.908863,-2.94875,0.834812
-2.245214,-0.600744,-0.750601
1.257032,-0.131873,-0.57409
1.664749,-0.534226,1.5756
-0.10031,0.273986,-2.589998
-1.850177,-0.171382,-1.129727
-0.642025,2.774967,-0.562379
-0.523813,-0.394085,2.150786
-0.163774,0.802295,2.576436
-0.12307,0.734469,-0.908381
-1.637023,-0.645448,-1.761976
-1.680584,-0.813498,1.768452
-0.740539,-0.070131,2.064936
-0.768132,-0.642147,-2.272809
-1.431244,-0.503459,-1.650625
-1.134173,-2.126207,-0.417236
1.213896,-0.080753,1.710186
-0.882859,0.855772,2.684524
-1.203432,0.718782,0.379273
2.016286,-0.315232,0.466271
2.023773,-0.168359,2.176193
1.050452,-1.765378,0.897692
0.760139,-0.835204,-1.031902
-0.856993,0.152832,-1.480392
1.484406,-0.247107,-2.229577
2.095319,-2.193718,-0.392519
0.738561,-0.30093,1.966243
-1.179304,0.698794,-1.41674
2.132261,-0.813071,0.394808
-0.561532,0.011587,-0.301398
-0.991801,-0.370433,0.772194
0.672897,1.081945,1.423271
3.023521,-0.652031,-0.833133
-1.14253,1.237429,1.930259
1.998771,-0.339488,1.09328
-0.989371,-0.395368,1.204817
-0.674967,2.685113,0.073796
0.597665,2.466739,-1.193926
-2.431531,0.619476,-1.129383
2.61791,-0.75277,0.649692
0.883712,-1.153665,-0.361346
0.730656,-1.012008,-2.797474
-0.942103,2.549364,1.217847
